idRequerimento,totalRegistros,numeroProtocolo,numeroProcesso,numeroRegistro,nomeValorMobiliario,tipoDeOferta,statusDaOferta,nomeEmissor,cnpjEmissor,nomeCoordenadorLider,cnpjCoordenadorLider,valorTotalEmReais,data,nomeTipoRequerimento,vasoComunicante,possuiBook,registroAutomatico
21961,4246,2589/2025,SRE/2588/2025,CVM/SRE/AUT/DEB/PRI/2025/633,Debêntures,PRIMARIA,Oferta Encerrada,CONCESSIONARIA CATARINENSE DE RODOVIAS S.A.,36.763.716/0001-98,ITAU BBA ASSESSORIA FINANCEIRA S.A,04.845.753/0001-59,"370.000.000,0000",02/09/2025,OPD Aut Profissional - com bookbuilding,False,True,True
21938,4246,2586/2025,SRE/2585/2025,CVM/SRE/AUT/DEB/PRI/2025/629;CVM/SRE/AUT/DEB/PRI/2025/630;CVM/SRE/AUT/DEB/PRI/2025/631;CVM/SRE/AUT/DEB/PRI/2025/632,Debêntures,PRIMARIA,Oferta Encerrada,CONCESSIONÁRIA DE RODOVIAS NOROESTE PAULISTA S.A,49.314.049/0001-08,BANCO NACIONAL DE DESENVOLVIMENTO ECONÔMICO E SOCIAL - BNDES,33.657.248/0001-89,"3.955.000.000,0000",02/09/2025,OPD Aut Profissional - com bookbuilding,False,True,True
21952,4246,2580/2025,SRE/2579/2025,CVM/SRE/AUT/DEB/PRI/2025/627;CVM/SRE/AUT/DEB/PRI/2025/628,Debêntures,PRIMARIA,Registro Concedido,TENDA ATACADO SA,01.157.555/0001-04,BANCO BRADESCO BBI S.A.,06.271.464/0001-19,"225.000.000,0000",02/09/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,False,True,True
22005,4246,2631/2025,SRE/2629/2025,CVM/SRE/AUT/DEB/PRI/2025/626,Debêntures,PRIMARIA,Oferta Encerrada,GRUPO SALTA EDUCAÇÃO S.A.,17.765.891/0001-70,ITAU BBA ASSESSORIA FINANCEIRA S.A,04.845.753/0001-59,"500.000.000,0000",01/09/2025,OPD Aut Profissional - com bookbuilding,False,True,True
22108,4246,2709/2025,SRE/2708/2025,CVM/SRE/AUT/DEB/PRI/2025/625,Debêntures,PRIMARIA,Oferta Encerrada,S A USINA CORURIPE ACUCAR E ALCOOL,12.229.415/0001-10,ARCHX CAPITAL,52.183.181/0001-32,"80.000.000,0000",01/09/2025,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,False,False,True
22091,4246,2698/2025,SRE/2697/2025,,Debêntures,PRIMARIA,Aguardando Bookbuilding,USINA SANTA ADELIA S A,50.376.938/0001-89,BANCO SANTANDER (BRASIL) S.A.,90.400.888/0001-42,"360.000.000,0000",31/08/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,False,False,True
21980,4246,2610/2025,SRE/2608/2025,CVM/SRE/AUT/DEB/PRI/2025/623;CVM/SRE/AUT/DEB/PRI/2025/624,Debêntures,PRIMARIA,Oferta Encerrada,LOCALIZA RENT A CAR SA,16.670.085/0001-55,BANCO SANTANDER (BRASIL) S.A.,90.400.888/0001-42,"600.000.000,0000",29/08/2025,OPD Aut Profissional - com bookbuilding,False,True,True
21957,4246,2684/2025,SRE/2683/2025,CVM/SRE/AUT/DEB/PRI/2025/622,Debêntures,PRIMARIA,Oferta Encerrada,HIDRO FORTE ADMINISTRACAO E OPERACAO S/A,04.911.091/0001-78,TERRA INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,03.751.794/0001-13,"6.200.000,0000",29/08/2025,OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado,False,False,True
22067,4246,2671/2025,SRE/2670/2025,,Debêntures,PRIMARIA,Aguardando Bookbuilding,ECO050 - CONCESSIONARIA DE RODOVIAS S.A.,19.208.022/0001-70,BANCO NACIONAL DE DESENVOLVIMENTO ECONÔMICO E SOCIAL - BNDES,33.657.248/0001-89,"550.000.000,0000",28/08/2025,OPD Aut Profissional - com bookbuilding,False,False,True
21965,4246,2590/2025,SRE/2589/2025,CVM/SRE/AUT/DEB/PRI/2025/621,Debêntures,PRIMARIA,Oferta Encerrada,FC GROUP HOLDING S.A.,43.167.621/0001-77,BANCO SANTANDER (BRASIL) S.A.,90.400.888/0001-42,"210.000.000,0000",28/08/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,False,True,True
